slug,title,generated_code,status,error
sort-matrix-by-diagonals,Sort Matrix by Diagonals,"```python
from typing import List

class Solution:
    def sortMatrix(self, grid: List[List[int]]) -> List[List[int]]:
        n = len(grid)
        for d in range(n):
            diagonal = []
            i, j = d, 0
            while i < n and j < n:
                diagonal.append(grid[i][j])
                i += 1
                j += 1
            diagonal.sort(reverse=True)
            i, j = d, 0
            idx = 0
            while i < n and j < n:
                grid[i][j] = diagonal[idx]
                i += 1
                j += 1
                idx += 1
        
        for d in range(1, n):
            diagonal = []
            i, j = 0, d
            while i < n and j < n:
                diagonal.append(grid[i][j])
                i += 1
                j += 1
            diagonal.sort()
            i, j = 0, d
            idx = 0
            while i < n and j < n:
                grid[i][j] = diagonal[idx]
                i += 1
                j += 1
                idx += 1
        
        return grid
```",Y,
reschedule-meetings-for-maximum-free-time-i,Reschedule Meetings for Maximum Free Time I,"```python
from typing import List

class Solution:
    def maxFreeTime(self, eventTime: int, k: int, startTime: List[int], endTime: List[int]) -> int:
        n = len(startTime)
        if n == 0:
            return eventTime
        
        gaps = []
        gaps.append(startTime[0] - 0)
        for i in range(1, n):
            gaps.append(startTime[i] - endTime[i-1])
        gaps.append(eventTime - endTime[-1])
        
        if k == 0:
            return max(gaps)
        
        max_gap = 0
        current_sum = sum(gaps[:k+1])
        max_gap = current_sum
        
        for i in range(k+1, len(gaps)):
            current_sum += gaps[i] - gaps[i - (k+1)]
            if current_sum > max_gap:
                max_gap = current_sum
        
        return max_gap
```",Y,
reschedule-meetings-for-maximum-free-time-ii,Reschedule Meetings for Maximum Free Time II,"```python
from typing import List

class Solution:
    def maxFreeTime(self, eventTime: int, startTime: List[int], endTime: List[int]) -> int:
        intervals = sorted(zip(startTime, endTime), key=lambda x: x[0])
        n = len(intervals)
        if n == 0:
            return eventTime
        
        max_gap = 0
        gaps = []
        prev_end = 0
        for s, e in intervals:
            gap = s - prev_end
            gaps.append(gap)
            if gap > max_gap:
                max_gap = gap
            prev_end = e
        gap_after_last = eventTime - intervals[-1][1]
        gaps.append(gap_after_last)
        if gap_after_last > max_gap:
            max_gap = gap_after_last
        
        if n == 1:
            s, e = intervals[0]
            duration = e - s
            return max(eventTime - duration, intervals[0][0])
        
        prefix_max = [0] * (n + 1)
        suffix_max = [0] * (n + 1)
        
        for i in range(1, n + 1):
            prefix_max[i] = max(prefix_max[i-1], gaps[i-1])
        
        for i in range(n - 1, -1, -1):
            suffix_max[i] = max(suffix_max[i+1], gaps[i+1])
        
        res = max_gap  # initial max without moving any meeting
        
        for i in range(n):
            s, e = intervals[i]
            duration = e - s
            if i == 0:
                new_start = eventTime - duration
                if new_start >= intervals[1][0] - duration:
                    continue  # can't move without overlapping
                new_gap_before = intervals[1][0] - 0
                new_gap_after = eventTime - (new_start + duration)
                current_max = max(new_gap_before, new_gap_after)
                if i + 1 < n:
                    current_max = max(current_max, suffix_max[i+1])
                res = max(res, current_max)
            elif i == n - 1:
                new_start = 0
                new_end = duration
                if new_end > intervals[-2][1]:
                    continue  # can't move without overlapping
                new_gap_before = new_start - intervals[-2][1]
                new_gap_after = eventTime - new_end
                current_max = max(new_gap_before, new_gap_after)
                if i - 1 >= 0:
                    current_max = max(current_max, prefix_max[i])
                res = max(res, current_max)
            else:
                new_start = intervals[i-1][1]
                new_end = new_start + duration
                if new_end > intervals[i+1][0]:
                    continue  # overlaps with next meeting
                new_gap_before = new_start - intervals[i-1][1]
                new_gap_after = intervals[i+1][0] - new_end
                current_max = max(prefix_max[i], suffix_max[i+1])
                current_max = max(current_max, new_gap_before, new_gap_after)
                res = max(res, current_max)
                
                new_end = intervals[i+1][0]
                new_start = new_end - duration
                if new_start < intervals[i-1][1]:
                    continue  # overlaps with previous meeting
                new_gap_before = new_start - intervals[i-1][1]
                new_gap_after = intervals[i+1][0] - new_end
                current_max = max(prefix_max[i], suffix_max[i+1])
                current_max = max(current_max, new_gap_before, new_gap_after)
                res = max(res, current_max)
        
        return res
```",Y,
paint-house-iv,Paint House IV,"```python
from typing import List

class Solution:
    def minCost(self, n: int, cost: List[List[int]]) -> int:
        if n == 2:
            min_cost = float('inf')
            for c1 in range(3):
                for c2 in range(3):
                    if c1 != c2:
                        min_cost = min(min_cost, cost[0][c1] + cost[1][c2])
            return min_cost
        
        half = n // 2
        dp_first = [[float('inf')] * 3 for _ in range(half)]
        for c in range(3):
            dp_first[0][c] = cost[0][c]
        
        for i in range(1, half):
            for c in range(3):
                min_prev = float('inf')
                for prev_c in range(3):
                    if prev_c != c:
                        min_prev = min(min_prev, dp_first[i-1][prev_c])
                dp_first[i][c] = min_prev + cost[i][c]
        
        dp_second = [[float('inf')] * 3 for _ in range(half)]
        for c in range(3):
            dp_second[-1][c] = cost[n - 1 - half][c]
        
        for i in range(half - 2, -1, -1):
            for c in range(3):
                min_next = float('inf')
                for next_c in range(3):
                    if next_c != c:
                        min_next = min(min_next, dp_second[i+1][next_c])
                dp_second[i][c] = min_next + cost[n - 1 - i][c]
        
        min_total = float('inf')
        for c1 in range(3):
            for c2 in range(3):
                if c1 != c2:
                    min_total = min(min_total, dp_first[-1][c1] + dp_second[0][c2])
        
        return min_total
```",Y,
sum-of-k-subarrays-with-length-at-least-m,Sum of K Subarrays With Length at Least M,"```python
from typing import List

class Solution:
    def maxSum(self, nums: List[int], k: int, m: int) -> int:
        n = len(nums)
        prefix = [0] * (n + 1)
        for i in range(n):
            prefix[i+1] = prefix[i] + nums[i]
        
        dp = [[-float('inf')] * (k + 1) for _ in range(n + 1)]
        dp[0][0] = 0
        
        for i in range(1, n + 1):
            dp[i][0] = 0
            for j in range(1, k + 1):
                dp[i][j] = dp[i-1][j]  # not taking nums[i-1] in any subarray
                if i >= m:
                    for l in range(m, i + 1):
                        if i - l >= 0 and dp[i - l][j - 1] != -float('inf'):
                            current_sum = prefix[i] - prefix[i - l]
                            dp[i][j] = max(dp[i][j], dp[i - l][j - 1] + current_sum)
        
        return dp[n][k]
```",Y,
count-mentions-per-user,Count Mentions Per User,"```python
from typing import List

class Solution:
    def countMentions(self, numberOfUsers: int, events: List[List[str]]) -> List[int]:
        mentions = [0] * numberOfUsers
        online_status = [True] * numberOfUsers
        offline_events = []  # list of (end_time, user_id)
        
        events.sort(key=lambda x: int(x[1]))
        
        for event in events:
            event_type, timestamp_str, data = event
            timestamp = int(timestamp_str)
            
            new_offline_events = []
            for end_time, user_id in offline_events:
                if end_time <= timestamp:
                    online_status[user_id] = True
                else:
                    new_offline_events.append((end_time, user_id))
            offline_events = new_offline_events
            
            if event_type == ""OFFLINE"":
                user_id = int(data)
                offline_events.append((timestamp + 60, user_id))
                online_status[user_id] = False
            elif event_type == ""MESSAGE"":
                if data == ""ALL"":
                    for i in range(numberOfUsers):
                        mentions[i] += 1
                elif data == ""HERE"":
                    for i in range(numberOfUsers):
                        if online_status[i]:
                            mentions[i] += 1
                else:
                    parts = data.split()
                    for part in parts:
                        if part.startswith(""id""):
                            user_id = int(part[2:])
                            mentions[user_id] += 1
        
        return mentions
```",Y,
minimize-the-maximum-edge-weight-of-graph,Minimize the Maximum Edge Weight of Graph,"```python
import heapq
from collections import defaultdict
from typing import List

class Solution:
    def minMaxWeight(self, n: int, edges: List[List[int]], threshold: int) -> int:
        reversed_edges = defaultdict(list)
        for a, b, w in edges:
            reversed_edges[b].append((a, w))
        
        left = 1
        right = max(w for _, _, w in edges) if edges else 0
        answer = -1
        
        def is_possible(max_weight):
            
            adj = defaultdict(list)
            for a, b, w in edges:
                if w <= max_weight:
                    adj[b].append((a, w))  # reversed edge
            
            min_edges = [threshold + 1] * n
            min_edges[0] = 0
            heap = []
            heapq.heappush(heap, (0, 0))  # (edges, node)
            
            while heap:
                current_edges, u = heapq.heappop(heap)
                if current_edges > min_edges[u]:
                    continue
                for v, w in adj[u]:
                    if min_edges[v] > current_edges + 1:
                        min_edges[v] = current_edges + 1
                        heapq.heappush(heap, (min_edges[v], v))
            
            for i in range(n):
                if min_edges[i] > threshold:
                    return False
            return True
        
        if not edges:
            return 0 if n == 1 else -1
        
        while left <= right:
            mid = (left + right) // 2
            if is_possible(mid):
                answer = mid
                right = mid - 1
            else:
                left = mid + 1
        return answer
```",Y,
longest-subsequence-with-decreasing-adjacent-difference,Longest Subsequence With Decreasing Adjacent Difference,"```python
from typing import List

class Solution:
    def longestSubsequence(self, nums: List[int]) -> int:
        n = len(nums)
        if n == 0:
            return 0
        
        dp = [1] * n
        diff = [0] * n
        
        for i in range(1, n):
            for j in range(i):
                current_diff = abs(nums[i] - nums[j])
                if dp[j] >= dp[i]:
                    if dp[j] == 1:
                        dp[i] = dp[j] + 1
                        diff[i] = current_diff
                    else:
                        if current_diff <= diff[j]:
                            dp[i] = dp[j] + 1
                            diff[i] = current_diff
        return max(dp)
```",Y,
maximum-coins-from-k-consecutive-bags,Maximum Coins From K Consecutive Bags,"```python
from typing import List

class Solution:
    def maximumCoins(self, coins: List[List[int]], k: int) -> int:
        events = []
        for l, r, c in coins:
            events.append((l, c))
            events.append((r + 1, -c))
        
        events.sort()
        max_coins = 0
        current_coins = 0
        prev_pos = None
        
        for pos, delta in events:
            if prev_pos is not None and pos > prev_pos:
                segment_length = pos - prev_pos
                max_segment = min(segment_length, k)
                max_coins = max(max_coins, current_coins * max_segment)
                k -= max_segment
                if k <= 0:
                    break
            current_coins += delta
            prev_pos = pos
        
        return max_coins
```",Y,
maximum-and-minimum-sums-of-at-most-size-k-subsequences,Maximum and Minimum Sums of at Most Size K Subsequences,"```python
import bisect

class Solution:
    def minMaxSums(self, nums: List[int], k: int) -> int:
        MOD = 10**9 + 7
        nums.sort()
        n = len(nums)
        res = 0
        
        pow2 = [1] * (n + 1)
        for i in range(1, n + 1):
            pow2[i] = (pow2[i-1] * 2) % MOD
        
        for i in range(n):
            right = n - i - 1
            max_j = min(k - 1, right)
            cnt_min = 0
            if max_j >= 0:
                cnt_min = pow2[right] - 1
                if right > max_j:
                    subtract = pow2[right - (max_j + 1)]
                    cnt_min = (pow2[right] - subtract) % MOD
            
            left = i
            max_j = min(k - 1, left)
            cnt_max = 0
            if max_j >= 0:
                cnt_max = pow2[left] - 1
                if left > max_j:
                    subtract = pow2[left - (max_j + 1)]
                    cnt_max = (pow2[left] - subtract) % MOD
            
            res = (res + nums[i] * (cnt_min + cnt_max)) % MOD
        
        return res
```",Y,
minimum-cost-to-make-arrays-identical,Minimum Cost to Make Arrays Identical,"```python
from typing import List

class Solution:
    def minCost(self, arr: List[int], brr: List[int], k: int) -> int:
        if arr == brr:
            return 0
        
        arr_sorted = sorted(arr)
        brr_sorted = sorted(brr)
        
        cost = 0
        for a, b in zip(arr_sorted, brr_sorted):
            cost += abs(a - b)
        
        option1 = cost
        option2 = k
        
        return min(option1, option2)
```",Y,
count-special-subsequences,Count Special Subsequences,"```python
from typing import List

class Solution:
    def numberOfSubsequences(self, nums: List[int]) -> int:
        n = len(nums)
        count = 0
        for p in range(n):
            for q in range(p + 2, n):
                for r in range(q + 2, n):
                    for s in range(r + 2, n):
                        if nums[p] * nums[r] == nums[q] * nums[s]:
                            count += 1
        return count
```",Y,
count-beautiful-splits-in-an-array,Count Beautiful Splits in an Array,"```python
from typing import List

class Solution:
    def beautifulSplits(self, nums: List[int]) -> int:
        n = len(nums)
        count = 0
        
        for i in range(1, n):
            for j in range(i + 1, n):
                nums1 = nums[:i]
                nums2 = nums[i:j]
                nums3 = nums[j:]
                
                len1 = len(nums1)
                len2 = len(nums2)
                len3 = len(nums3)
                
                if len1 <= len2 and nums1 == nums2[:len1]:
                    count += 1
                elif len2 <= len3 and nums2 == nums3[:len2]:
                    count += 1
        
        return count
```",Y,
find-the-lexicographically-largest-string-from-the-box-i,Find the Lexicographically Largest String From the Box I,"```python
class Solution:
    def answerString(self, word: str, numFriends: int) -> str:
        if numFriends == 1:
            return word
        max_str = """"
        n = len(word)
        for i in range(1, n - numFriends + 2):
            current = word[:i]
            if current > max_str:
                max_str = current
        return max_str
```",Y,
maximum-area-rectangle-with-point-constraints-i,Maximum Area Rectangle With Point Constraints I,"```python
from typing import List

class Solution:
    def maxRectangleArea(self, points: List[List[int]]) -> int:
        point_set = set((x, y) for x, y in points)
        max_area = -1
        
        for i in range(len(points)):
            x1, y1 = points[i]
            for j in range(len(points)):
                x2, y2 = points[j]
                if x1 < x2 and y1 < y2:
                    if (x1, y2) in point_set and (x2, y1) in point_set:
                        valid = True
                        for x, y in points:
                            if x1 < x < x2 and y1 < y < y2:
                                valid = False
                                break
                        if valid:
                            area = (x2 - x1) * (y2 - y1)
                            if area > max_area:
                                max_area = area
        return max_area
```",Y,
design-task-manager,Design Task Manager,"```python
import heapq
from typing import List

class TaskManager:

    def __init__(self, tasks: List[List[int]]):
        self.task_map = {}  # Maps taskId to (priority, userId)
        self.priority_queue = []  # Max-heap based on (-priority, -taskId)
        for task in tasks:
            userId, taskId, priority = task
            self.add(userId, taskId, priority)

    def add(self, userId: int, taskId: int, priority: int) -> None:
        self.task_map[taskId] = (priority, userId)
        heapq.heappush(self.priority_queue, (-priority, -taskId))

    def edit(self, taskId: int, newPriority: int) -> None:
        old_priority, userId = self.task_map[taskId]
        self.task_map[taskId] = (newPriority, userId)
        heapq.heappush(self.priority_queue, (-newPriority, -taskId))

    def rmv(self, taskId: int) -> None:
        if taskId in self.task_map:
            del self.task_map[taskId]

    def execTop(self) -> int:
        while self.priority_queue:
            neg_priority, neg_taskId = self.priority_queue[0]
            taskId = -neg_taskId
            if taskId in self.task_map:
                current_priority, userId = self.task_map[taskId]
                if current_priority == -neg_priority:
                    heapq.heappop(self.priority_queue)
                    del self.task_map[taskId]
                    return userId
            heapq.heappop(self.priority_queue)
        return -1
```",E,生成的代码不包含预期函数名 '__init__'或类名不正确
maximum-amount-of-money-robot-can-earn,Maximum Amount of Money Robot Can Earn,"```python
from typing import List

class Solution:
    def maximumAmount(self, coins: List[List[int]]) -> int:
        m, n = len(coins), len(coins[0])
        dp = [[[-float('inf')] * 3 for _ in range(n)] for _ in range(m)]
        
        if coins[0][0] < 0:
            dp[0][0][1] = coins[0][0]
        else:
            dp[0][0][0] = coins[0][0]
        
        for i in range(m):
            for j in range(n):
                for k in range(3):
                    if i == 0 and j == 0:
                        continue
                    current = -float('inf')
                    if i > 0:
                        current = max(current, dp[i-1][j][k])
                    if j > 0:
                        current = max(current, dp[i][j-1][k])
                    if current == -float('inf'):
                        continue
                    val = coins[i][j]
                    if val < 0:
                        if k > 0:
                            new_val = current + val
                            if dp[i][j][k] < new_val:
                                dp[i][j][k] = new_val
                        new_k = k - 1
                        if new_k >= 0:
                            new_val = current
                            if dp[i][j][new_k] < new_val:
                                dp[i][j][new_k] = new_val
                    else:
                        new_val = current + val
                        if dp[i][j][k] < new_val:
                            dp[i][j][k] = new_val
        
        return max(dp[m-1][n-1][0], dp[m-1][n-1][1], dp[m-1][n-1][2])
```",Y,
count-paths-with-the-given-xor-value,Count Paths With the Given XOR Value,"```python
class Solution:
    def countPathsWithXorValue(self, grid: List[List[int]], k: int) -> int:
        m, n = len(grid), len(grid[0])
        MOD = 10**9 + 7
        
        from collections import defaultdict
        
        dp = [[defaultdict(int) for _ in range(n)] for __ in range(m)]
        dp[0][0][grid[0][0]] = 1
        
        for i in range(m):
            for j in range(n):
                if i == 0 and j == 0:
                    continue
                current_xor = grid[i][j]
                if i > 0:
                    for xor_val, count in dp[i-1][j].items():
                        new_xor = xor_val ^ current_xor
                        dp[i][j][new_xor] = (dp[i][j][new_xor] + count) % MOD
                if j > 0:
                    for xor_val, count in dp[i][j-1].items():
                        new_xor = xor_val ^ current_xor
                        dp[i][j][new_xor] = (dp[i][j][new_xor] + count) % MOD
        
        return dp[m-1][n-1].get(k, 0) % MOD
```",Y,
check-if-grid-can-be-cut-into-sections,Check if Grid can be Cut into Sections,"```python
from typing import List

class Solution:
    def checkValidCuts(self, n: int, rectangles: List[List[int]]) -> bool:
        def check_horizontal():
            y_coords = []
            for rect in rectangles:
                y_coords.append(rect[1])
                y_coords.append(rect[3])
            y_coords = sorted(list(set(y_coords)))
            
            for i in range(len(y_coords)):
                for j in range(i + 1, len(y_coords)):
                    y1 = y_coords[i]
                    y2 = y_coords[j]
                    lower = []
                    middle = []
                    upper = []
                    for rect in rectangles:
                        starty, endy = rect[1], rect[3]
                        if endy <= y1:
                            lower.append(rect)
                        elif starty >= y2:
                            upper.append(rect)
                        else:
                            middle.append(rect)
                    if lower and middle and upper:
                        return True
            return False
        
        def check_vertical():
            x_coords = []
            for rect in rectangles:
                x_coords.append(rect[0])
                x_coords.append(rect[2])
            x_coords = sorted(list(set(x_coords)))
            
            for i in range(len(x_coords)):
                for j in range(i + 1, len(x_coords)):
                    x1 = x_coords[i]
                    x2 = x_coords[j]
                    left = []
                    middle = []
                    right = []
                    for rect in rectangles:
                        startx, endx = rect[0], rect[2]
                        if endx <= x1:
                            left.append(rect)
                        elif startx >= x2:
                            right.append(rect)
                        else:
                            middle.append(rect)
                    if left and middle and right:
                        return True
            return False
        
        return check_horizontal() or check_vertical()
```",Y,
digit-operations-to-make-two-integers-equal,Digit Operations to Make Two Integers Equal,"```python
import math

class Solution:
    def minOperations(self, n: int, m: int) -> int:
        def is_prime(num):
            if num < 2:
                return False
            for i in range(2, int(math.sqrt(num)) + 1):
                if num % i == 0:
                    return False
            return True
        
        if is_prime(m):
            return -1
        
        from collections import deque
        
        visited = set()
        queue = deque()
        queue.append((n, 0))
        visited.add(n)
        
        while queue:
            current, cost = queue.popleft()
            if current == m:
                return cost + m
            
            digits = list(map(int, str(current)))
            for i in range(len(digits)):
                original_digit = digits[i]
                if original_digit != 9:
                    new_digits = digits.copy()
                    new_digits[i] += 1
                    new_num = int(''.join(map(str, new_digits)))
                    if not is_prime(new_num) and new_num not in visited:
                        visited.add(new_num)
                        queue.append((new_num, cost + current))
                if original_digit != 0:
                    new_digits = digits.copy()
                    new_digits[i] -= 1
                    new_num = int(''.join(map(str, new_digits)))
                    if not is_prime(new_num) and new_num not in visited:
                        visited.add(new_num)
                        queue.append((new_num, cost + current))
        
        return -1
```",Y,
minimum-array-sum,Minimum Array Sum,"```python
import heapq

class Solution:
    def minArraySum(self, nums: List[int], k: int, op1: int, op2: int) -> int:
        heap = []
        for num in nums:
            heapq.heappush(heap, -num)
        
        for _ in range(op1):
            if not heap:
                break
            current = -heapq.heappop(heap)
            new_val = (current + 1) // 2
            heapq.heappush(heap, -new_val)
        
        heap2 = []
        while heap:
            val = -heapq.heappop(heap)
            if val >= k and op2 > 0:
                val -= k
                op2 -= 1
            heapq.heappush(heap2, val)
        
        return sum(heap2)
```",Y,
maximum-subarray-sum-with-length-divisible-by-k,Maximum Subarray Sum With Length Divisible by K,"```python
from typing import List

class Solution:
    def maxSubarraySum(self, nums: List[int], k: int) -> int:
        n = len(nums)
        prefix_sum = [0] * (n + 1)
        for i in range(n):
            prefix_sum[i + 1] = prefix_sum[i] + nums[i]
        
        max_sum = -float('inf')
        remainder_min = {}
        remainder_min[0] = 0  # prefix_sum[0] is 0, remainder 0
        
        for i in range(1, n + 1):
            remainder = prefix_sum[i] % k
            if remainder in remainder_min:
                current_sum = prefix_sum[i] - remainder_min[remainder]
                if current_sum > max_sum:
                    max_sum = current_sum
            if remainder not in remainder_min or prefix_sum[i] < remainder_min[remainder]:
                remainder_min[remainder] = prefix_sum[i]
        
        return max_sum
```",Y,
minimum-time-to-break-locks-i,Minimum Time to Break Locks I,"```python
import itertools

class Solution:
    def findMinimumTime(self, strength: List[int], k: int) -> int:
        n = len(strength)
        min_time = float('inf')
        
        for perm in itertools.permutations(strength):
            current_time = 0
            x = 1
            energy = 0
            for s in perm:
                t = 0
                discriminant = (2 * x - 1) ** 2 + 8 * s
                sqrt_discriminant = int(discriminant ** 0.5)
                if sqrt_discriminant * sqrt_discriminant < discriminant:
                    sqrt_discriminant += 1
                t = (- (2 * x - 1) + sqrt_discriminant) // 2
                if t * (2 * x + t - 1) // 2 < s:
                    t += 1
                
                current_time += t
                energy = t * (2 * x + t - 1) // 2
                x += k
                
            if current_time < min_time:
                min_time = current_time
        
        return min_time
```",Y,
zero-array-transformation-iii,Zero Array Transformation III,"```python
from typing import List

class Solution:
    def maxRemoval(self, nums: List[int], queries: List[List[int]]) -> int:
        n = len(nums)
        m = len(queries)
        diff = [0] * (n + 2)
        
        for l, r in queries:
            diff[l] += 1
            diff[r + 1] -= 1
        
        coverage = [0] * n
        current = 0
        for i in range(n):
            current += diff[i]
            coverage[i] = current
        
        for i in range(n):
            if nums[i] > coverage[i]:
                return -1
        
        
        
        
        
        
        
        surplus = [coverage[i] - nums[i] for i in range(n)]
        
        
        size = 1
        while size < n:
            size <<= 1
        seg = [float('inf')] * (2 * size)
        
        for i in range(n):
            seg[size + i] = surplus[i]
        for i in range(size - 1, 0, -1):
            seg[i] = min(seg[2 * i], seg[2 * i + 1])
        
        def query_min(l, r):
            res = float('inf')
            l += size
            r += size
            while l < r:
                if l % 2 == 1:
                    res = min(res, seg[l])
                    l += 1
                if r % 2 == 1:
                    r -= 1
                    res = min(res, seg[r])
                l //= 2
                r //= 2
            return res
        
        removable = 0
        for l, r in queries:
            min_surplus = query_min(l, r + 1)
            if min_surplus >= 1:
                removable += 1
                pass
        
        return removable
```",Y,
zero-array-transformation-ii,Zero Array Transformation II,"```python
import bisect

class Solution:
    def minZeroArray(self, nums: List[int], queries: List[List[int]]) -> int:
        n = len(nums)
        m = len(queries)
        
        diff = [0] * (n + 1)
        
        left = 0
        right = m
        answer = -1
        
        while left <= right:
            mid = (left + right) // 2
            diff = [0] * (n + 1)
            
            for i in range(mid):
                l, r, val = queries[i]
                diff[l] += val
                if r + 1 < n:
                    diff[r + 1] -= val
            
            possible = True
            current = 0
            for i in range(n):
                current += diff[i]
                if current > nums[i]:
                    possible = False
                    break
            
            if possible:
                answer = mid
                right = mid - 1
            else:
                left = mid + 1
        
        return answer if answer != -1 else -1
```",Y,
zero-array-transformation-i,Zero Array Transformation I,"```python
from typing import List

class Solution:
    def isZeroArray(self, nums: List[int], queries: List[List[int]]) -> bool:
        n = len(nums)
        diff = [0] * (n + 1)
        
        for l, r in queries:
            diff[l] += 1
            if r + 1 < n:
                diff[r + 1] -= 1
        
        current = 0
        for i in range(n):
            current += diff[i]
            if current > nums[i]:
                return False
        
        return sum(nums) == sum(r - l + 1 for l, r in queries)
```",Y,
find-mirror-score-of-a-string,Find Mirror Score of a String,"```python
class Solution:
    def calculateScore(self, s: str) -> int:
        mirror_map = {
            'a': 'z', 'b': 'y', 'c': 'x', 'd': 'w', 'e': 'v', 'f': 'u',
            'g': 't', 'h': 's', 'i': 'r', 'j': 'q', 'k': 'p', 'l': 'o',
            'm': 'n', 'n': 'm', 'o': 'l', 'p': 'k', 'q': 'j', 'r': 'i',
            's': 'h', 't': 'g', 'u': 'f', 'v': 'e', 'w': 'd', 'x': 'c',
            'y': 'b', 'z': 'a'
        }
        marked = [False] * len(s)
        score = 0
        
        for i in range(len(s)):
            if marked[i]:
                continue
            target_char = mirror_map[s[i]]
            for j in range(i - 1, -1, -1):
                if not marked[j] and s[j] == target_char:
                    marked[i] = marked[j] = True
                    score += i - j
                    break
        return score
```",Y,
maximize-the-number-of-target-nodes-after-connecting-trees-i,Maximize the Number of Target Nodes After Connecting Trees I,"```python
from collections import defaultdict, deque
from typing import List

class Solution:
    def maxTargetNodes(self, edges1: List[List[int]], edges2: List[List[int]], k: int) -> List[int]:
        n = len(edges1) + 1
        m = len(edges2) + 1
        
        tree1 = defaultdict(list)
        for a, b in edges1:
            tree1[a].append(b)
            tree1[b].append(a)
        
        tree2 = defaultdict(list)
        for u, v in edges2:
            tree2[u].append(v)
            tree2[v].append(u)
        
        dist_tree2 = [[0] * m for _ in range(m)]
        for u in range(m):
            visited = [False] * m
            q = deque([(u, 0)])
            visited[u] = True
            while q:
                node, d = q.popleft()
                dist_tree2[u][node] = d
                for neighbor in tree2[node]:
                    if not visited[neighbor]:
                        visited[neighbor] = True
                        q.append((neighbor, d + 1))
        
        dist_tree1 = [[0] * n for _ in range(n)]
        for u in range(n):
            visited = [False] * n
            q = deque([(u, 0)])
            visited[u] = True
            while q:
                node, d = q.popleft()
                dist_tree1[u][node] = d
                for neighbor in tree1[node]:
                    if not visited[neighbor]:
                        visited[neighbor] = True
                        q.append((neighbor, d + 1))
        
        answer = []
        for i in range(n):
            max_target = 0
            for j in range(m):
                count1 = sum(1 for x in range(n) if dist_tree1[i][x] <= k)
                count2 = sum(1 for y in range(m) if dist_tree2[j][y] + 1 <= k)
                total = count1 + count2
                if total > max_target:
                    max_target = total
            answer.append(max_target)
        
        return answer
```",Y,
total-characters-in-string-after-transformations-i,Total Characters in String After Transformations I,"```python
class Solution:
    def lengthAfterTransformations(self, s: str, t: int) -> int:
        MOD = 10**9 + 7
        count = [0] * 26
        for c in s:
            count[ord(c) - ord('a')] += 1
        
        for _ in range(t):
            new_count = [0] * 26
            for i in range(25):
                new_count[i + 1] += count[i]
                new_count[i + 1] %= MOD
            new_count[0] += count[25]
            new_count[1] += count[25]
            new_count[0] %= MOD
            new_count[1] %= MOD
            count = new_count
        
        return sum(count) % MOD
```",Y,
find-minimum-time-to-reach-last-room-ii,Find Minimum Time to Reach Last Room II,"```python
import heapq

class Solution:
    def minTimeToReach(self, moveTime: List[List[int]]) -> int:
        n = len(moveTime)
        m = len(moveTime[0]) if n > 0 else 0
        directions = [(-1, 0), (1, 0), (0, -1), (0, 1)]
        
        heap = []
        heapq.heappush(heap, (moveTime[0][0], 0, 0, 0))
        
        visited = {}
        visited[(0, 0, 0)] = moveTime[0][0]
        
        while heap:
            current_time, x, y, parity = heapq.heappop(heap)
            if x == n - 1 and y == m - 1:
                return current_time
            if current_time > visited.get((x, y, parity), float('inf')):
                continue
            for dx, dy in directions:
                nx, ny = x + dx, y + dy
                if 0 <= nx < n and 0 <= ny < m:
                    move_cost = 1 if parity == 0 else 2
                    new_time = max(current_time, moveTime[nx][ny]) + move_cost
                    new_parity = 1 - parity
                    key = (nx, ny, new_parity)
                    if new_time < visited.get(key, float('inf')):
                        visited[key] = new_time
                        heapq.heappush(heap, (new_time, nx, ny, new_parity))
        return -1
```",Y,
find-minimum-time-to-reach-last-room-i,Find Minimum Time to Reach Last Room I,"```python
import heapq
from typing import List

class Solution:
    def minTimeToReach(self, moveTime: List[List[int]]) -> int:
        n = len(moveTime)
        m = len(moveTime[0]) if n > 0 else 0
        directions = [(-1, 0), (1, 0), (0, -1), (0, 1)]
        
        heap = []
        heapq.heappush(heap, (0, 0, 0))
        visited = [[False for _ in range(m)] for _ in range(n)]
        
        while heap:
            current_time, i, j = heapq.heappop(heap)
            if i == n - 1 and j == m - 1:
                return current_time
            if visited[i][j]:
                continue
            visited[i][j] = True
            
            for di, dj in directions:
                ni, nj = i + di, j + dj
                if 0 <= ni < n and 0 <= nj < m and not visited[ni][nj]:
                    new_time = max(current_time + 1, moveTime[ni][nj])
                    heapq.heappush(heap, (new_time, ni, nj))
        
        return -1
```",Y,
maximum-frequency-of-an-element-after-performing-operations-i,Maximum Frequency of an Element After Performing Operations I,"```python
from typing import List

class Solution:
    def maxFrequency(self, nums: List[int], k: int, numOperations: int) -> int:
        nums.sort()
        left = 0
        max_freq = 0
        total = 0
        
        for right in range(len(nums)):
            total += nums[right]
            
            while nums[right] * (right - left + 1) > total + k * min(numOperations, right - left + 1):
                total -= nums[left]
                left += 1
            
            current_window = right - left + 1
            if current_window <= numOperations or numOperations == 0:
                max_freq = max(max_freq, current_window)
            else:
                max_freq = max(max_freq, numOperations + 1)
        
        return max_freq
```",Y,
