slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed
intersection-of-multiple-arrays,Easy,151,151,57.5508,SUCCESS,71.1294,Accepted,TRUE
find-xor-sum-of-all-pairs-bitwise-and,Hard,84,84,57.6471,SUCCESS,85.8822,Accepted,TRUE
beautiful-towers-i,Medium,785,785,57.7063,SUCCESS,92.4899,Accepted,TRUE
put-marbles-in-bags,Hard,103,103,57.7569,SUCCESS,50.0519,Accepted,TRUE
earliest-second-to-mark-indices-i,Medium,570,570,58.1079,SUCCESS,20.2702,Accepted,TRUE
divide-players-into-teams-of-equal-skill,Medium,89,89,58.2118,SUCCESS,85.131,Accepted,TRUE
find-the-width-of-columns-of-a-grid,Easy,50,50,58.2173,SUCCESS,75.9053,Accepted,TRUE
decode-the-message,Easy,69,69,58.4076,SUCCESS,76.9427,Accepted,TRUE
count-prefix-and-suffix-pairs-i,Easy,594,594,58.4164,SUCCESS,16.7618,Accepted,TRUE
longest-non-decreasing-subarray-from-two-arrays,Medium,2973,2973,58.4268,SUCCESS,73.5955,Accepted,TRUE
check-if-string-is-transformable-with-substring-sort-operations,Hard,138,138,58.4343,SUCCESS,60.8435,Accepted,TRUE
find-the-divisibility-array-of-a-string,Medium,51,51,58.5157,SUCCESS,74.6725,Accepted,TRUE
design-graph-with-shortest-path-calculator,Hard,36,36,58.7453,SUCCESS,31.3901,Accepted,TRUE
extra-characters-in-a-string,Medium,2028,2028,59.156,SUCCESS,76.0267,Accepted,TRUE
fruits-into-baskets-ii,Easy,904,904,59.2475,SUCCESS,87.2168,Accepted,TRUE
faulty-keyboard,Easy,3005,3005,59.4938,SUCCESS,36.939,Accepted,TRUE
count-the-number-of-incremovable-subarrays-i,Easy,615,615,59.7437,SUCCESS,87.8594,Accepted,TRUE
smallest-missing-non-negative-integer-after-operations,Medium,1062,1062,59.8544,SUCCESS,56.2045,Accepted,TRUE
sum-multiples,Easy,1000,1000,59.8599,SUCCESS,25.504,Accepted,TRUE
lexicographically-smallest-string-after-substring-operation,Medium,2241,2241,59.912,SUCCESS,19.3832,Accepted,TRUE
length-of-longest-subarray-with-at-most-k-frequency,Medium,993,993,59.984,SUCCESS,92.3815,Accepted,TRUE
decode-xored-array,Easy,76,76,60.0509,SUCCESS,59.4147,Accepted,TRUE
destroy-sequential-targets,Medium,45,45,60.1693,SUCCESS,21.1863,Accepted,TRUE
maximum-deletions-on-a-string,Hard,129,129,60.2938,SUCCESS,92.647,Accepted,TRUE
minimum-difference-in-sums-after-removal-of-elements,Hard,110,110,60.5537,SUCCESS,57.7776,Accepted,TRUE
make-array-empty,Hard,514,514,60.6564,SUCCESS,70.4919,Accepted,TRUE
ways-to-split-array-into-good-subarrays,Medium,553,553,61.0168,SUCCESS,36.7233,Accepted,TRUE
minimize-length-of-array-using-operations,Medium,523,523,61.2613,SUCCESS,39.6397,Accepted,TRUE
maximum-sum-of-almost-unique-subarray,Medium,767,767,61.3867,SUCCESS,89.8515,Accepted,TRUE
double-a-number-represented-as-a-linked-list,Medium,1265,1265,62.1007,SUCCESS,85.8448,Accepted,TRUE
special-permutations,Medium,590,590,62.3645,SUCCESS,43.0102,Accepted,TRUE
mice-and-cheese,Medium,564,564,62.3693,SUCCESS,44.948,Accepted,TRUE
maximum-number-of-distinct-elements-after-operations,Medium,633,633,62.6306,SUCCESS,59.5156,Accepted,TRUE
number-of-increasing-paths-in-a-grid,Hard,36,36,62.7448,SUCCESS,71.8952,Accepted,TRUE
split-array-into-maximum-number-of-subarrays,Medium,887,887,62.9629,SUCCESS,93.8272,Accepted,TRUE
count-operations-to-obtain-zero,Easy,161,161,63.3396,SUCCESS,83.0308,Accepted,TRUE
find-consecutive-integers-from-a-data-stream,Medium,38,38,63.4393,SUCCESS,5.0582,Accepted,TRUE
most-frequent-even-element,Easy,219,219,63.5316,SUCCESS,95.7096,Accepted,TRUE
find-first-palindromic-string-in-the-array,Easy,266,266,64.0326,SUCCESS,32.088,Accepted,TRUE
maximum-strong-pair-xor-i,Easy,861,861,64.2859,SUCCESS,34.9624,Accepted,TRUE
make-three-strings-equal,Easy,1935,1935,64.4519,SUCCESS,94.0199,Accepted,TRUE
minimum-positive-sum-subarray,Easy,889,889,64.5197,SUCCESS,63.3899,Accepted,TRUE
smallest-missing-genetic-value-in-each-subtree,Hard,68,68,64.5836,SUCCESS,93.7501,Accepted,TRUE
count-the-number-of-incremovable-subarrays-ii,Hard,840,840,64.7056,SUCCESS,18.6274,Accepted,TRUE
maximize-area-of-square-hole-in-grid,Medium,524,524,64.7727,SUCCESS,34.091,Accepted,TRUE
string-compression-iii,Medium,744,744,64.892,SUCCESS,36.4577,Accepted,TRUE
count-anagrams,Hard,41,41,65.0804,SUCCESS,68.6507,Accepted,TRUE
merge-strings-alternately,Easy,108,108,65.091,SUCCESS,49.1295,Accepted,TRUE
count-number-of-pairs-with-absolute-difference-k,Easy,237,237,65.1666,SUCCESS,60.45,Accepted,TRUE
append-characters-to-string-to-make-subsequence,Medium,86,86,65.1773,SUCCESS,28.1201,Accepted,TRUE
manhattan-distances-of-all-arrangements-of-pieces,Hard,919,919,65.2169,SUCCESS,11.5939,Accepted,TRUE
longest-subsequence-with-limited-sum,Easy,57,57,65.3589,SUCCESS,45.6849,Accepted,TRUE
minimize-deviation-in-array,Hard,76,76,65.3859,SUCCESS,94.2308,Accepted,TRUE
reward-top-k-students,Medium,30,30,65.5271,SUCCESS,49.5727,Accepted,TRUE
maximum-value-of-an-ordered-triplet-ii,Medium,599,599,65.5747,SUCCESS,88.0817,Accepted,TRUE
maximum-subarray-with-equal-products,Easy,865,865,65.7464,SUCCESS,77.9006,Accepted,TRUE
find-the-maximum-divisibility-score,Easy,160,160,65.8095,SUCCESS,36.7521,Accepted,TRUE
min-max-game,Easy,96,96,65.8823,SUCCESS,84.4118,Accepted,TRUE
maximum-number-of-groups-with-increasing-length,Hard,2027,2027,66.145,SUCCESS,83.911,Accepted,TRUE
longest-uploaded-prefix,Medium,24,24,66.2329,SUCCESS,17.5316,Accepted,TRUE
count-fertile-pyramids-in-a-land,Hard,49,49,66.292,SUCCESS,42.6964,Accepted,TRUE
build-a-matrix-with-conditions,Hard,53,53,66.3044,SUCCESS,82.0652,Accepted,TRUE
maximum-number-of-k-divisible-components,Hard,736,736,66.667,SUCCESS,33.3337,Accepted,TRUE
strange-printer-ii,Hard,153,153,66.99,SUCCESS,8.738,Accepted,TRUE
count-array-pairs-divisible-by-k,Hard,115,115,67.4156,SUCCESS,25.8426,Accepted,TRUE
minimum-number-of-days-to-disconnect-island,Hard,104,104,67.6056,SUCCESS,95.0704,Accepted,TRUE
number-of-unequal-triplets-in-array,Easy,104,104,67.6282,SUCCESS,39.0576,Accepted,TRUE
divide-array-into-equal-pairs,Easy,137,137,67.7408,SUCCESS,66.5282,Accepted,TRUE
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,Medium,691,691,67.8457,SUCCESS,69.9357,Accepted,TRUE
frog-jump-ii,Medium,34,34,67.9015,SUCCESS,50.3088,Accepted,TRUE
count-submatrices-with-top-left-element-and-sum-less-than-k,Medium,859,859,68.0728,SUCCESS,36.1447,Accepted,TRUE
minimum-increment-operations-to-make-array-beautiful,Medium,570,570,68.0853,SUCCESS,57.4471,Accepted,TRUE
goal-parser-interpretation,Easy,105,105,68.1655,SUCCESS,28.0639,Accepted,TRUE
number-of-beautiful-integers-in-the-range,Hard,595,595,68.293,SUCCESS,35.7724,Accepted,TRUE
count-of-interesting-subarrays,Medium,617,617,68.5035,SUCCESS,86.1302,Accepted,TRUE
stone-game-iii,Hard,185,185,68.8087,SUCCESS,85.8407,Accepted,TRUE
longest-nice-substring,Easy,73,73,69.0209,SUCCESS,20.1445,Accepted,TRUE
minimum-number-of-changes-to-make-binary-string-beautiful,Medium,577,577,69.1212,SUCCESS,27.4348,Accepted,TRUE
sum-in-a-matrix,Medium,1057,1057,69.2016,SUCCESS,12.1674,Accepted,TRUE
cousins-in-binary-tree-ii,Medium,41,41,69.2307,SUCCESS,98.3728,Accepted,TRUE
count-the-number-of-arrays-with-k-matching-adjacent-elements,Hard,809,809,69.3174,SUCCESS,14.7726,Accepted,TRUE
largest-element-in-an-array-after-merge-operations,Medium,1023,1023,69.4438,SUCCESS,51.1108,Accepted,TRUE
maximum-prime-difference,Medium,904,904,69.4862,SUCCESS,36.7649,Accepted,TRUE
kth-distinct-string-in-an-array,Easy,66,66,69.5761,SUCCESS,5.611,Accepted,TRUE
sort-matrix-by-diagonals,Medium,1306,1306,69.6077,SUCCESS,46.7319,Accepted,TRUE
latest-time-you-can-obtain-after-replacing-characters,Easy,908,908,69.697,SUCCESS,9.0909,Accepted,TRUE
minimum-cost-for-cutting-cake-ii,Hard,566,566,69.7254,SUCCESS,91.7432,Accepted,TRUE
maximum-number-of-alloys,Medium,731,731,69.999,SUCCESS,88.8889,Accepted,TRUE
largest-3-same-digit-number-in-string,Easy,141,141,70.0138,SUCCESS,38.3768,Accepted,TRUE
car-fleet-ii,Hard,85,85,70.0678,SUCCESS,32.6531,Accepted,TRUE
count-common-words-with-one-occurrence,Easy,61,61,70.1453,SUCCESS,98.943,Accepted,TRUE
minimum-time-to-repair-cars,Medium,1072,1072,70.4098,SUCCESS,20.622,Accepted,TRUE
minimum-cost-to-make-all-characters-equal,Medium,1574,1574,70.4542,SUCCESS,56.0605,Accepted,TRUE
robot-collisions,Hard,2433,2433,70.588,SUCCESS,34.64,Accepted,TRUE
generate-binary-strings-without-adjacent-zeros,Medium,20,20,70.7406,SUCCESS,31.4898,Accepted,TRUE
design-spreadsheet,Medium,658,658,70.7953,SUCCESS,70.5186,Accepted,TRUE
allocate-mailboxes,Hard,69,69,70.8346,SUCCESS,85.4167,Accepted,TRUE
remove-nodes-from-linked-list,Medium,32,32,71.2015,SUCCESS,46.1829,Accepted,TRUE
count-number-of-distinct-integers-after-reverse-operations,Medium,44,44,71.3496,SUCCESS,76.895,Accepted,TRUE
find-longest-awesome-substring,Hard,153,153,71.4281,SUCCESS,28.5714,Accepted,TRUE
find-the-score-of-all-prefixes-of-an-array,Medium,43,43,71.6266,SUCCESS,26.2977,Accepted,TRUE
partition-string-into-minimum-beautiful-substrings,Medium,561,561,71.6722,SUCCESS,29.3516,Accepted,TRUE
maximum-elegance-of-a-k-length-subsequence,Hard,2729,2729,71.698,SUCCESS,66.0376,Accepted,TRUE
report-spam-message,Medium,526,526,71.7391,SUCCESS,14.1306,Accepted,TRUE
minimum-operations-to-make-all-array-elements-equal,Medium,31,31,71.818,SUCCESS,24.8484,Accepted,TRUE
maximum-beauty-of-an-array-after-applying-operation,Medium,622,622,72.1223,SUCCESS,53.9393,Accepted,TRUE
maximum-star-sum-of-a-graph,Medium,25,25,72.2896,SUCCESS,62.651,Accepted,TRUE
design-neighbor-sum-service,Easy,652,652,72.378,SUCCESS,87.2122,Accepted,TRUE
count-pairs-that-form-a-complete-day-i,Easy,667,667,72.6241,SUCCESS,83.1206,Accepted,TRUE
longest-substring-of-one-repeating-character,Hard,57,57,72.727,SUCCESS,52.7268,Accepted,TRUE
count-ways-to-build-good-strings,Medium,36,36,72.9213,SUCCESS,86.9937,Accepted,TRUE
determine-if-string-halves-are-alike,Easy,113,113,72.9335,SUCCESS,23.6629,Accepted,TRUE
find-all-people-with-secret,Hard,56,56,72.9516,SUCCESS,59.0176,Accepted,TRUE
gcd-sort-of-an-array,Hard,91,91,73.171,SUCCESS,86.5855,Accepted,TRUE
remove-trailing-zeros-from-a-string,Easy,756,756,73.2539,SUCCESS,52.8108,Accepted,TRUE
maximum-square-area-by-removing-fences-from-a-field,Medium,648,648,73.2946,SUCCESS,77.8406,Accepted,TRUE
shortest-string-that-contains-three-strings,Medium,5324,5324,73.4843,SUCCESS,14.3938,Accepted,TRUE
number-of-adjacent-elements-with-the-same-color,Medium,183,183,73.4868,SUCCESS,42.507,Accepted,TRUE
finding-3-digit-even-numbers,Easy,79,79,73.6238,SUCCESS,28.0835,Accepted,TRUE
sum-of-distances,Medium,1068,1068,73.7784,SUCCESS,42.2228,Accepted,TRUE
right-triangles,Medium,637,637,73.863,SUCCESS,71.0227,Accepted,TRUE
smallest-subarrays-with-maximum-bitwise-or,Medium,59,59,73.972,SUCCESS,78.0822,Accepted,TRUE
find-valid-pair-of-adjacent-digits-in-string,Easy,826,826,74.3907,SUCCESS,87.0554,Accepted,TRUE
first-completely-painted-row-or-column,Medium,1058,1058,74.5944,SUCCESS,50.8103,Accepted,TRUE
minimum-score-of-a-path-between-two-cities,Medium,43,43,74.7297,SUCCESS,83.7218,Accepted,TRUE
minimum-operations-to-make-columns-strictly-increasing,Easy,722,722,74.7322,SUCCESS,51.606,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-i,Easy,706,706,74.9002,SUCCESS,28.6518,Accepted,TRUE
number-of-ways-to-reconstruct-a-tree,Hard,81,81,74.9998,SUCCESS,83.3333,Accepted,TRUE
building-boxes,Hard,86,86,75,SUCCESS,52.5,Accepted,TRUE
taking-maximum-energy-from-the-mystic-dungeon,Medium,533,533,75.308,SUCCESS,77.1606,Accepted,TRUE
minimum-total-cost-to-make-arrays-unequal,Hard,104,104,75.4716,SUCCESS,56.6036,Accepted,TRUE
maximize-win-from-two-segments,Medium,72,72,75.5906,SUCCESS,47.2442,Accepted,TRUE
naming-a-company,Hard,89,89,75.7141,SUCCESS,22.8571,Accepted,TRUE
hash-divided-string,Medium,1066,1066,75.84,SUCCESS,5.44,Accepted,TRUE
paths-in-matrix-whose-sum-is-divisible-by-k,Hard,88,88,76.0735,SUCCESS,69.9386,Accepted,TRUE
minimum-time-to-finish-the-race,Hard,58,58,76.1199,SUCCESS,94.0299,Accepted,TRUE
design-a-text-editor,Hard,45,45,76.2204,SUCCESS,35.061,Accepted,TRUE
number-of-ways-to-reorder-array-to-get-same-bst,Hard,161,161,76.351,SUCCESS,16.8919,Accepted,TRUE
number-of-ways-to-divide-a-long-corridor,Hard,248,248,76.471,SUCCESS,36.1346,Accepted,TRUE
find-longest-special-substring-that-occurs-thrice-ii,Medium,906,906,76.4718,SUCCESS,23.8758,Accepted,TRUE
palindrome-partitioning-iv,Hard,91,91,76.6295,SUCCESS,73.9127,Accepted,TRUE
subarrays-distinct-element-sum-of-squares-i,Easy,707,707,76.7079,SUCCESS,48.7578,Accepted,TRUE
maximize-palindrome-length-from-subsequences,Hard,109,109,76.9222,SUCCESS,85.8973,Accepted,TRUE
minimum-degree-of-a-connected-trio-in-a-graph,Hard,68,68,77.2725,SUCCESS,23.6361,Accepted,TRUE
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,Hard,72,72,77.3143,SUCCESS,42.1293,Accepted,TRUE
find-common-elements-between-two-arrays,Easy,1208,1208,77.3246,SUCCESS,84.7248,Accepted,TRUE
sum-of-matrix-after-queries,Medium,2688,2688,77.528,SUCCESS,21.3483,Accepted,TRUE
find-a-value-of-a-mysterious-function-closest-to-target,Hard,43,43,77.6123,SUCCESS,80.597,Accepted,TRUE
neither-minimum-nor-maximum,Easy,9558,9558,77.7887,SUCCESS,52.1223,Accepted,TRUE
minimum-processing-time,Medium,716,716,77.8,SUCCESS,43.6,Accepted,TRUE
sum-of-digit-differences-of-all-pairs,Medium,643,643,77.9301,SUCCESS,13.793,Accepted,TRUE
longest-path-with-different-adjacent-characters,Hard,142,142,77.9887,SUCCESS,96.8557,Accepted,TRUE
maximum-number-of-events-that-can-be-attended-ii,Hard,69,69,78.3136,SUCCESS,64.4584,Accepted,TRUE
count-vowel-strings-in-ranges,Medium,94,94,78.3757,SUCCESS,52.8934,Accepted,TRUE
find-occurrences-of-an-element-in-an-array,Medium,527,527,78.5596,SUCCESS,43.7186,Accepted,TRUE
maximum-genetic-difference-query,Hard,59,59,78.6891,SUCCESS,98.3607,Accepted,TRUE
stone-game-iv,Hard,72,72,78.6988,SUCCESS,87.574,Accepted,TRUE
separate-squares-ii,Hard,763,763,78.7042,SUCCESS,100,Accepted,TRUE
check-if-matrix-is-x-matrix,Easy,84,84,78.882,SUCCESS,93.1677,Accepted,TRUE
delete-nodes-from-linked-list-present-in-array,Medium,582,582,78.9398,SUCCESS,89.8279,Accepted,TRUE
max-pair-sum-in-an-array,Easy,3008,3008,79.178,SUCCESS,96.1644,Accepted,TRUE
length-of-the-longest-alphabetical-continuous-substring,Medium,123,123,79.3518,SUCCESS,69.2308,Accepted,TRUE
optimal-partition-of-string,Medium,62,62,79.3895,SUCCESS,39.7929,Accepted,TRUE
number-of-ways-to-rearrange-sticks-with-k-sticks-visible,Hard,50,50,79.6602,SUCCESS,84.7455,Accepted,TRUE
redistribute-characters-to-make-all-strings-equal,Easy,179,179,79.6944,SUCCESS,18.7773,Accepted,TRUE
minimum-operations-to-form-subsequence-with-target-sum,Hard,754,754,79.7468,SUCCESS,21.519,Accepted,TRUE
number-of-subarrays-that-match-a-pattern-i,Medium,792,792,79.8077,SUCCESS,18.5898,Accepted,TRUE
points-that-intersect-with-cars,Easy,807,807,79.9753,SUCCESS,24.4747,Accepted,TRUE
count-the-number-of-beautiful-subarrays,Medium,114,114,80.2136,SUCCESS,66.8449,Accepted,TRUE
cherry-pickup-ii,Hard,59,59,80.281,SUCCESS,76.3691,Accepted,TRUE
make-string-a-subsequence-using-cyclic-increments,Medium,1128,1128,80.4444,SUCCESS,24.4444,Accepted,TRUE
find-the-k-or-of-an-array,Easy,951,951,80.5308,SUCCESS,23.8938,Accepted,TRUE
the-number-of-good-subsets,Hard,92,92,80.5973,SUCCESS,97.015,Accepted,TRUE
minimum-replacements-to-sort-the-array,Hard,47,47,80.8511,SUCCESS,58.156,Accepted,TRUE
minimum-operations-to-make-the-array-increasing,Easy,94,94,80.8706,SUCCESS,53.2981,Accepted,TRUE
minimum-number-of-operations-to-make-array-continuous,Hard,62,62,81.0486,SUCCESS,14.9194,Accepted,TRUE
number-of-beautiful-pairs,Easy,3005,3005,81.1984,SUCCESS,25.0681,Accepted,TRUE
longest-cycle-in-a-graph,Hard,81,81,81.6078,SUCCESS,71.8822,Accepted,TRUE
maximum-number-of-balls-in-a-box,Easy,97,97,81.6719,SUCCESS,40.4314,Accepted,TRUE
maximum-number-of-points-from-grid-queries,Hard,22,22,81.8014,SUCCESS,81.5947,Accepted,TRUE
count-pairs-with-xor-in-a-range,Hard,63,63,81.8176,SUCCESS,74.2421,Accepted,TRUE
apply-operations-to-maximize-score,Hard,870,870,81.825,SUCCESS,73.1253,Accepted,TRUE
number-of-pairs-satisfying-inequality,Hard,61,61,81.875,SUCCESS,91.875,Accepted,TRUE
ways-to-express-an-integer-as-sum-of-powers,Medium,1502,1502,81.8936,SUCCESS,62.14,Accepted,TRUE
find-the-value-of-the-partition,Medium,806,806,82.174,SUCCESS,68.6956,Accepted,TRUE
distribute-candies-among-children-i,Easy,827,827,82.2299,SUCCESS,84.3206,Accepted,TRUE
max-dot-product-of-two-subsequences,Hard,69,69,82.2583,SUCCESS,55.3764,Accepted,TRUE
find-the-prefix-common-array-of-two-arrays,Medium,1773,1773,82.2776,SUCCESS,66.9684,Accepted,TRUE
minimum-cost-to-split-an-array,Hard,59,59,82.7806,SUCCESS,68.2118,Accepted,TRUE
smallest-k-length-subsequence-with-occurrences-of-a-letter,Hard,152,152,82.9784,SUCCESS,27.6594,Accepted,TRUE
closest-subsequence-sum,Hard,74,74,83.0688,SUCCESS,46.0318,Accepted,TRUE
minimum-white-tiles-after-covering-with-carpets,Hard,2706,2706,83.1583,SUCCESS,83.158,Accepted,TRUE
find-polygon-with-the-largest-perimeter,Medium,980,980,83.2783,SUCCESS,66.5553,Accepted,TRUE
take-gifts-from-the-richest-pile,Easy,103,103,83.3946,SUCCESS,8.7434,Accepted,TRUE
minimum-cost-walk-in-weighted-graph,Hard,549,549,83.6448,SUCCESS,31.4624,Accepted,TRUE
partition-string-into-substrings-with-values-at-most-k,Medium,56,56,83.6953,SUCCESS,67.9347,Accepted,TRUE
apply-operations-to-make-all-array-elements-equal-to-zero,Medium,1029,1029,83.8298,SUCCESS,65.1064,Accepted,TRUE
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,Hard,66,66,84.1007,SUCCESS,76.9875,Accepted,TRUE
minimum-cost-to-convert-string-i,Medium,581,581,84.1496,SUCCESS,30.5659,Accepted,TRUE
count-pairs-of-nodes,Hard,63,63,84.2104,SUCCESS,64.9122,Accepted,TRUE
find-beautiful-indices-in-the-given-array-i,Medium,535,535,84.441,SUCCESS,34.5043,Accepted,TRUE
maximize-score-after-n-operations,Hard,77,77,84.5,SUCCESS,42,Accepted,TRUE
minimum-cost-to-change-the-final-value-of-expression,Hard,70,70,84.6154,SUCCESS,94.8718,Accepted,TRUE
count-subarrays-with-median-k,Hard,45,45,84.7829,SUCCESS,49.2755,Accepted,TRUE
rearranging-fruits,Hard,40,40,84.9317,SUCCESS,67.1233,Accepted,TRUE
maximum-matching-of-players-with-trainers,Medium,35,35,85.1799,SUCCESS,52.8058,Accepted,TRUE
sort-the-people,Easy,68,68,85.1852,SUCCESS,29.5816,Accepted,TRUE
distinct-prime-factors-of-product-of-array,Medium,81,81,85.5474,SUCCESS,36.7188,Accepted,TRUE
sum-of-values-at-indices-with-k-set-bits,Easy,639,639,85.6012,SUCCESS,81.3291,Accepted,TRUE
unique-3-digit-even-numbers,Easy,930,930,85.6892,SUCCESS,98.3868,Accepted,TRUE
most-frequent-ids,Medium,623,623,85.7135,SUCCESS,55.1938,Accepted,TRUE
minimum-operations-to-make-median-of-array-equal-to-k,Medium,723,723,85.7896,SUCCESS,70.0002,Accepted,TRUE
number-of-distinct-roll-sequences,Hard,64,64,86.301,SUCCESS,50.6847,Accepted,TRUE
relocate-marbles,Medium,2129,2129,86.3013,SUCCESS,53.4247,Accepted,TRUE
number-of-subarrays-with-gcd-equal-to-k,Medium,87,87,86.5075,SUCCESS,53.1746,Accepted,TRUE
house-robber-iv,Medium,64,64,86.5849,SUCCESS,44.1198,Accepted,TRUE
count-all-possible-routes,Hard,109,109,86.6142,SUCCESS,91.3386,Accepted,TRUE
stamping-the-grid,Hard,77,77,86.6665,SUCCESS,23.3329,Accepted,TRUE
number-of-flowers-in-full-bloom,Hard,53,53,86.7412,SUCCESS,74.5975,Accepted,TRUE
number-of-ways-of-cutting-a-pizza,Hard,54,54,86.7842,SUCCESS,88.5461,Accepted,TRUE
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,Hard,50,50,86.842,SUCCESS,36.8418,Accepted,TRUE
number-of-rectangles-that-can-form-the-largest-square,Easy,68,68,86.9945,SUCCESS,21.6763,Accepted,TRUE
number-of-different-subsequences-gcds,Hard,39,39,87.0968,SUCCESS,95.1613,Accepted,TRUE
minimum-cost-to-cut-a-stick,Hard,101,101,87.3619,SUCCESS,82.2086,Accepted,TRUE
number-of-ways-to-wear-different-hats-to-each-other,Hard,65,65,87.4999,SUCCESS,98.6111,Accepted,TRUE
count-pairs-of-points-with-distance-k,Medium,1007,1007,87.5,SUCCESS,92.1875,Accepted,TRUE
minimum-money-required-before-transactions,Hard,56,56,87.5001,SUCCESS,62.5,Accepted,TRUE
get-the-maximum-score,Hard,82,82,87.5742,SUCCESS,40.2367,Accepted,TRUE
maximum-xor-with-an-element-from-array,Hard,67,67,87.7769,SUCCESS,48.8875,Accepted,TRUE
minimum-operations-to-maximize-last-elements-in-arrays,Medium,702,702,87.8049,SUCCESS,24.3903,Accepted,TRUE
maximum-path-quality-of-a-graph,Hard,62,62,87.9675,SUCCESS,36.9293,Accepted,TRUE
check-if-there-is-a-valid-parentheses-string-path,Hard,81,81,88,SUCCESS,81.3336,Accepted,TRUE
shortest-uncommon-substring-in-an-array,Medium,631,631,88.0858,SUCCESS,96.945,Accepted,TRUE
next-greater-element-iv,Hard,51,51,88.2075,SUCCESS,51.8866,Accepted,TRUE
maximum-total-reward-using-operations-i,Medium,586,586,88.2352,SUCCESS,69.8529,Accepted,TRUE
count-the-number-of-consistent-strings,Easy,74,74,88.2541,SUCCESS,44.8563,Accepted,TRUE
fancy-sequence,Hard,107,107,88.4056,SUCCESS,95.6522,Accepted,TRUE
number-of-subarrays-with-lcm-equal-to-k,Medium,102,102,88.406,SUCCESS,72.4638,Accepted,TRUE
delete-greatest-value-in-each-row,Easy,55,55,88.4807,SUCCESS,12.5125,Accepted,TRUE
minimum-number-of-operations-to-make-arrays-similar,Hard,32,32,88.5713,SUCCESS,41.9046,Accepted,TRUE
sorting-the-sentence,Easy,45,45,88.6886,SUCCESS,28.8526,Accepted,TRUE
delete-duplicate-folders-in-system,Hard,108,108,88.7756,SUCCESS,63.2656,Accepted,TRUE
count-ways-to-make-array-with-product,Hard,67,67,88.8889,SUCCESS,36.508,Accepted,TRUE
alternating-groups-i,Easy,795,795,88.9793,SUCCESS,56.4386,Accepted,TRUE
minimum-number-of-operations-to-make-array-xor-equal-to-k,Medium,684,684,89.0978,SUCCESS,27.8196,Accepted,TRUE
minimum-array-length-after-pair-removals,Medium,636,636,89.2979,SUCCESS,63.8797,Accepted,TRUE
largest-odd-number-in-string,Easy,196,196,89.3646,SUCCESS,63.5014,Accepted,TRUE
maximum-number-of-fish-in-a-grid,Medium,3842,3842,89.3849,SUCCESS,38.9626,Accepted,TRUE
minimum-element-after-replacement-with-digit-sum,Easy,835,835,89.4803,SUCCESS,64.2585,Accepted,TRUE
minimum-deletions-to-make-string-k-special,Medium,732,732,89.74,SUCCESS,28.3173,Accepted,TRUE
find-the-number-of-distinct-colors-among-the-balls,Medium,551,551,89.7486,SUCCESS,86.4606,Accepted,TRUE
maximum-total-damage-with-spell-casting,Medium,554,554,90.0229,SUCCESS,95.3047,Accepted,TRUE
closest-room,Hard,43,43,90.1642,SUCCESS,90.164,Accepted,TRUE
frequency-tracker,Medium,1118,1118,90.4035,SUCCESS,30.8078,Accepted,TRUE
minimum-common-value,Easy,41,41,90.4084,SUCCESS,35.8185,Accepted,TRUE
design-task-manager,Medium,663,663,90.422,SUCCESS,84.2917,Accepted,TRUE
number-of-unique-good-subsequences,Hard,69,69,90.5265,SUCCESS,70.5263,Accepted,TRUE
number-of-great-partitions,Hard,46,46,90.566,SUCCESS,83.0189,Accepted,TRUE
count-alternating-subarrays,Medium,789,789,90.6907,SUCCESS,68.7688,Accepted,TRUE
maximum-or,Medium,1215,1215,90.8451,SUCCESS,11.2675,Accepted,TRUE
minimum-operations-to-make-a-subsequence,Hard,82,82,90.9089,SUCCESS,45.4545,Accepted,TRUE
minimum-score-after-removals-on-a-tree,Hard,65,65,90.9091,SUCCESS,96.9697,Accepted,TRUE
find-the-distinct-difference-array,Easy,4512,4512,91.0145,SUCCESS,68.4058,Accepted,TRUE
collect-coins-in-a-tree,Hard,4986,4986,91.1112,SUCCESS,97.7778,Accepted,TRUE
maximum-sum-of-an-hourglass,Medium,41,41,91.2135,SUCCESS,23.8494,Accepted,TRUE
count-visited-nodes-in-a-directed-graph,Hard,941,941,91.228,SUCCESS,91.228,Accepted,TRUE
maximum-points-inside-the-square,Medium,576,576,91.4632,SUCCESS,69.5122,Accepted,TRUE
minimum-number-of-coins-to-be-added,Medium,628,628,91.7647,SUCCESS,74.1176,Accepted,TRUE
separate-the-digits-in-an-array,Easy,52,52,91.8429,SUCCESS,54.5317,Accepted,TRUE
find-a-safe-walk-through-a-grid,Medium,691,691,91.8836,SUCCESS,69.5653,Accepted,TRUE
find-the-minimum-area-to-cover-all-ones-i,Medium,712,712,91.9437,SUCCESS,14.218,Accepted,TRUE
convert-1d-array-into-2d-array,Easy,107,107,92.189,SUCCESS,74.3062,Accepted,TRUE
maximum-multiplication-score,Medium,675,675,92.2577,SUCCESS,47.7412,Accepted,TRUE
